size_m2,bedrooms,bathrooms,age_years,floor,has_elevator,distance_to_business_km,distance_to_transit_km,view_quality,noise_level,has_security,has_pool,has_gym,has_social,furnished,balcony,garden,parking_spaces,pet_friendly,price_per_m2,is_premium_zone,price_per_bedroom,premium_features_score,distance_ratio,amenities_total,zone_Zona 1,zone_Zona 10,zone_Zona 11,zone_Zona 12,zone_Zona 13,zone_Zona 14,zone_Zona 15,zone_Zona 16,zone_Zona 17,zone_Zona 18,zone_Zona 2,zone_Zona 3,zone_Zona 4,zone_Zona 5,zone_Zona 6,zone_Zona 7,zone_Zona 8,zone_Zona 9,property_type_Casa,age_bucket_16-30,age_bucket_30+,age_bucket_6-15
0.31937172774869105,0.6000000000000001,0.75,0.38,0.16666666666666666,0.0,0.4722744119670228,0.1859706362153344,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.2385247913598429,0.0,0.10477773531106396,0.28571428571428575,0.07111752159410599,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4345549738219895,0.4000000000000001,0.5,0.42,0.0,0.0,0.3213519368384308,0.2055464926590538,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.1657461953853706,0.0,0.23254205961687693,0.5,0.04490836361134348,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.26178010471204194,0.4000000000000001,0.25,0.48,0.1111111111111111,1.0,0.06262769376084433,0.3050570962479608,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.32081492390770744,0.0,0.22260714869411022,0.35714285714285715,0.006851116053244093,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.2041884816753927,0.4000000000000001,0.5,0.02,0.16666666666666666,0.0,0.33572550589829664,0.2724306688417618,0.75,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.653411880216004,1.0,0.3781968394797832,0.6428571428571428,0.03634416383405837,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24083769633507854,0.4000000000000001,0.25,0.16,0.4444444444444444,1.0,0.052360858718082964,0.2707993474714519,0.25,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.669612174766814,1.0,0.4437676604772176,0.7142857142857143,0.006658083961356665,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2041884816753927,0.4000000000000001,0.25,0.24,0.5,1.0,0.3049250007700126,0.37846655791190864,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.6431026018654884,1.0,0.37164563542066387,0.35714285714285715,0.024306171874421027,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.15706806282722516,0.2,0.0,0.16,0.8888888888888888,1.0,0.09958829991478524,0.0734094616639478,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.4348306332842415,0.0,0.38552138923145507,0.7142857142857143,0.03522400870081436,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.17801047120418848,0.4000000000000001,0.5,0.4,0.9444444444444444,1.0,0.11396186897465116,0.1402936378466558,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5676239567992147,1.0,0.2886042554202882,0.35714285714285715,0.02386130297420472,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8586387434554975,1.0000000000000002,1.0,0.32,0.0,0.0,0.48356793051406033,0.5693311582381729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.1073269513991163,0.0,0.11135142926474531,0.14285714285714288,0.025770174919919973,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.5549738219895288,0.6000000000000001,0.5,0.2,0.0,0.0,0.3624192770094762,0.46003262642740617,0.25,0.75,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4529945999018164,1.0,0.44189039319874923,0.5,0.02384620269859293,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
